    81    0.28479E+04    0.62450E+00    0.24341E-02   -0.15955E+02
    82    0.28851E+04    0.64347E+00    0.24948E-02   -0.16707E+02
    83    0.29226E+04    0.66254E+00    0.25562E-02   -0.17469E+02
    84    0.29605E+04    0.68170E+00    0.26185E-02   -0.18239E+02
    85    0.29986E+04    0.70092E+00    0.26815E-02   -0.19018E+02
    86    0.30371E+04    0.72020E+00    0.27452E-02   -0.19806E+02
    87    0.30759E+04    0.73950E+00    0.28098E-02   -0.20601E+02
    88    0.31148E+04    0.75883E+00    0.28751E-02   -0.21402E+02
    89    0.31540E+04    0.77815E+00    0.29413E-02   -0.22211E+02
    90    0.31936E+04    0.79745E+00    0.30082E-02   -0.23025E+02
    91    0.32333E+04    0.81672E+00    0.30760E-02   -0.23845E+02
    92    0.32734E+04    0.83592E+00    0.31445E-02   -0.24670E+02
    93    0.33138E+04    0.85505E+00    0.32139E-02   -0.25499E+02
    94    0.33544E+04    0.87409E+00    0.32841E-02   -0.26334E+02
    95    0.33953E+04    0.89302E+00    0.33551E-02   -0.27172E+02
    96    0.34364E+04    0.91181E+00    0.34269E-02   -0.28013E+02
    97    0.34779E+04    0.93046E+00    0.34996E-02   -0.28856E+02
    98    0.35197E+04    0.94894E+00    0.35732E-02   -0.29702E+02
    99    0.35616E+04    0.96723E+00    0.36476E-02   -0.30549E+02
   100    0.36040E+04    0.98532E+00    0.37229E-02   -0.31395E+02
   101    0.36465E+04    0.10032E+01    0.37990E-02   -0.32241E+02
   102    0.36893E+04    0.10208E+01    0.38760E-02   -0.33085E+02
   103    0.37323E+04    0.10382E+01    0.39539E-02   -0.33928E+02
   104    0.37756E+04    0.10552E+01    0.40327E-02   -0.34767E+02
   105    0.38191E+04    0.10720E+01    0.41124E-02   -0.35603E+02
   106    0.38628E+04    0.10885E+01    0.41930E-02   -0.36435E+02
   107    0.39067E+04    0.11046E+01    0.42745E-02   -0.37261E+02
   108    0.39509E+04    0.11204E+01    0.43570E-02   -0.38082E+02
   109    0.39953E+04    0.11359E+01    0.44403E-02   -0.38896E+02
   110    0.40398E+04    0.11509E+01    0.45246E-02   -0.39702E+02
   111    0.40844E+04    0.11656E+01    0.46099E-02   -0.40500E+02
   112    0.41292E+04    0.11797E+01    0.46961E-02   -0.41289E+02
   113    0.41743E+04    0.11936E+01    0.47832E-02   -0.42069E+02
   114    0.42194E+04    0.12069E+01    0.48714E-02   -0.42839E+02
   115    0.42647E+04    0.12198E+01    0.49605E-02   -0.43597E+02
   116    0.43101E+04    0.12322E+01    0.50506E-02   -0.44344E+02
   117    0.43556E+04    0.12441E+01    0.51417E-02   -0.45079E+02
   118    0.44013E+04    0.12556E+01    0.52337E-02   -0.45800E+02
   119    0.44470E+04    0.12665E+01    0.53268E-02   -0.46508E+02
   120    0.44928E+04    0.12769E+01    0.54209E-02   -0.47201E+02
   121    0.45387E+04    0.12868E+01    0.55161E-02   -0.47879E+02
   122    0.45846E+04    0.12962E+01    0.56122E-02   -0.48540E+02
   123    0.46307E+04    0.13049E+01    0.57094E-02   -0.49186E+02
   124    0.46767E+04    0.13131E+01    0.58076E-02   -0.49814E+02
   125    0.47228E+04    0.13208E+01    0.59069E-02   -0.50423E+02
   126    0.47690E+04    0.13279E+01    0.60072E-02   -0.51013E+02
   127    0.48151E+04    0.13343E+01    0.61086E-02   -0.51585E+02
   128    0.48612E+04    0.13402E+01    0.62111E-02   -0.52136E+02
   129    0.49073E+04    0.13454E+01    0.63146E-02   -0.52666E+02
   130    0.49534E+04    0.13500E+01    0.64192E-02   -0.53174E+02
   131    0.49995E+04    0.13540E+01    0.65250E-02   -0.53661E+02
   132    0.50455E+04    0.13574E+01    0.66318E-02   -0.54123E+02
   133    0.50915E+04    0.13601E+01    0.67397E-02   -0.54564E+02
   134    0.51374E+04    0.13622E+01    0.68488E-02   -0.54979E+02
   135    0.51832E+04    0.13637E+01    0.69589E-02   -0.55370E+02
   136    0.52289E+04    0.13646E+01    0.70702E-02   -0.55734E+02
   137    0.52744E+04    0.13648E+01    0.71827E-02   -0.56073E+02
   138    0.53198E+04    0.13645E+01    0.72962E-02   -0.56386E+02
   139    0.53650E+04    0.13635E+01    0.74110E-02   -0.56670E+02
   140    0.54100E+04    0.13619E+01    0.75268E-02   -0.56927E+02
   141    0.54549E+04    0.13597E+01    0.76439E-02   -0.57156E+02
   142    0.54995E+04    0.13570E+01    0.77621E-02   -0.57355E+02
   143    0.55439E+04    0.13536E+01    0.78815E-02   -0.57525E+02
   144    0.55879E+04    0.13496E+01    0.80021E-02   -0.57665E+02
   145    0.56318E+04    0.13451E+01    0.81239E-02   -0.57774E+02
   146    0.56753E+04    0.13400E+01    0.82469E-02   -0.57852E+02
   147    0.57185E+04    0.13344E+01    0.83711E-02   -0.57898E+02
   148    0.57613E+04    0.13282E+01    0.84965E-02   -0.57912E+02
   149    0.58039E+04    0.13215E+01    0.86231E-02   -0.57894E+02
   150    0.58461E+04    0.13143E+01    0.87510E-02   -0.57842E+02
   151    0.58878E+04    0.13066E+01    0.88800E-02   -0.57756E+02
   152    0.59292E+04    0.12983E+01    0.90104E-02   -0.57638E+02
   153    0.59702E+04    0.12896E+01    0.91419E-02   -0.57485E+02
   154    0.60109E+04    0.12805E+01    0.92748E-02   -0.57298E+02
   155    0.60512E+04    0.12709E+01    0.94089E-02   -0.57077E+02
   156    0.60910E+04    0.12608E+01    0.95442E-02   -0.56821E+02
   157    0.61305E+04    0.12505E+01    0.96808E-02   -0.56532E+02
   158    0.61697E+04    0.12397E+01    0.98187E-02   -0.56207E+02
   159    0.62085E+04    0.12286E+01    0.99579E-02   -0.55847E+02
   160    0.62469E+04    0.12171E+01    0.10098E-01   -0.55453E+02
   161    0.62848E+04    0.12053E+01    0.10240E-01   -0.55024E+02
   162    0.63224E+04    0.11933E+01    0.10383E-01   -0.54559E+02
   163    0.63596E+04    0.11810E+01    0.10527E-01   -0.54059E+02
   164    0.63963E+04    0.11685E+01    0.10673E-01   -0.53524E+02
   165    0.64327E+04    0.11559E+01    0.10820E-01   -0.52952E+02
   166    0.64685E+04    0.11430E+01    0.10968E-01   -0.52345E+02
