    0.10000E-03    0.53094E+03
    0.10202E-03    0.54123E+03
    0.10408E-03    0.55171E+03
    0.10618E-03    0.56240E+03
    0.10833E-03    0.57330E+03
    0.11052E-03    0.58440E+03
    0.11275E-03    0.59572E+03
    0.11503E-03    0.60726E+03
    0.11735E-03    0.61902E+03
    0.11972E-03    0.63101E+03
    0.12214E-03    0.64323E+03
    0.12461E-03    0.65569E+03
    0.12712E-03    0.66839E+03
    0.12969E-03    0.68133E+03
    0.13231E-03    0.69452E+03
    0.13499E-03    0.70797E+03
    0.13771E-03    0.72168E+03
    0.14049E-03    0.73565E+03
    0.14333E-03    0.74989E+03
    0.14623E-03    0.76441E+03
    0.14918E-03    0.77921E+03
    0.15220E-03    0.79429E+03
    0.15527E-03    0.80966E+03
    0.15841E-03    0.82533E+03
    0.16161E-03    0.84131E+03
    0.16487E-03    0.85759E+03
    0.16820E-03    0.87418E+03
    0.17160E-03    0.89110E+03
    0.17507E-03    0.90834E+03
    0.17860E-03    0.92591E+03
    0.18221E-03    0.94382E+03
    0.18589E-03    0.96207E+03
    0.18965E-03    0.98068E+03
    0.19348E-03    0.99965E+03
    0.19739E-03    0.10190E+04
    0.20138E-03    0.10387E+04
    0.20544E-03    0.10588E+04
    0.20959E-03    0.10792E+04
    0.21383E-03    0.11001E+04
    0.21815E-03    0.11213E+04
    0.22255E-03    0.11430E+04
    0.22705E-03    0.11651E+04
    0.23164E-03    0.11876E+04
    0.23632E-03    0.12106E+04
    0.24109E-03    0.12339E+04
    0.24596E-03    0.12578E+04
    0.25093E-03    0.12821E+04
    0.25600E-03    0.13068E+04
    0.26117E-03    0.13320E+04
    0.26645E-03    0.13577E+04
    0.27183E-03    0.13839E+04
    0.27732E-03    0.14106E+04
    0.28292E-03    0.14378E+04
    0.28864E-03    0.14656E+04
    0.29447E-03    0.14938E+04
    0.30042E-03    0.15226E+04
    0.30649E-03    0.15520E+04
    0.31268E-03    0.15819E+04
    0.31899E-03    0.16123E+04
    0.32544E-03    0.16434E+04
    0.33201E-03    0.16750E+04
    0.33872E-03    0.17073E+04
    0.34556E-03    0.17401E+04
    0.35254E-03    0.17736E+04
    0.35966E-03    0.18077E+04
    0.36693E-03    0.18425E+04
    0.37434E-03    0.18779E+04
    0.38190E-03    0.19140E+04
    0.38962E-03    0.19508E+04
    0.39749E-03    0.19882E+04
    0.40552E-03    0.20264E+04
    0.41371E-03    0.20653E+04
    0.42207E-03    0.21049E+04
    0.43060E-03    0.21452E+04
    0.43929E-03    0.21864E+04
    0.44817E-03    0.22282E+04
    0.45722E-03    0.22709E+04
    0.46646E-03    0.23144E+04
    0.47588E-03    0.23586E+04
    0.48550E-03    0.24037E+04
    0.49530E-03    0.24497E+04
    0.50531E-03    0.24965E+04
    0.51552E-03    0.25442E+04
    0.52593E-03    0.25927E+04
    0.53656E-03    0.26422E+04
    0.54739E-03    0.26925E+04
    0.55845E-03    0.27438E+04
    0.56973E-03    0.27961E+04
    0.58124E-03    0.28493E+04
    0.59299E-03    0.29034E+04
    0.60496E-03    0.29586E+04
    0.61719E-03    0.30148E+04
    0.62965E-03    0.30720E+04
    0.64237E-03    0.31303E+04
    0.65535E-03    0.31896E+04
    0.66859E-03    0.32500E+04
    0.68210E-03    0.33114E+04
    0.69588E-03    0.33740E+04
    0.70993E-03    0.34378E+04
    0.72427E-03    0.35026E+04
    0.73891E-03    0.35687E+04
    0.75383E-03    0.36359E+04
    0.76906E-03    0.37043E+04
    0.78460E-03    0.37740E+04
    0.80045E-03    0.38449E+04
    0.81662E-03    0.39170E+04
    0.83311E-03    0.39904E+04
    0.84994E-03    0.40652E+04
    0.86711E-03    0.41412E+04
    0.88463E-03    0.42186E+04
    0.90250E-03    0.42973E+04
    0.92073E-03    0.43774E+04
    0.93933E-03    0.44589E+04
    0.95831E-03    0.45419E+04
    0.97767E-03    0.46262E+04
    0.99742E-03    0.47120E+04
    0.10176E-02    0.47993E+04
    0.10381E-02    0.48881E+04
    0.10591E-02    0.49784E+04
    0.10805E-02    0.50702E+04
    0.11023E-02    0.51636E+04
    0.11246E-02    0.52585E+04
    0.11473E-02    0.53551E+04
    0.11705E-02    0.54532E+04
    0.11941E-02    0.55530E+04
    0.12182E-02    0.56544E+04
    0.12429E-02    0.57575E+04
    0.12680E-02    0.58623E+04
    0.12936E-02    0.59688E+04
    0.13197E-02    0.60771E+04
    0.13464E-02    0.61871E+04
    0.13736E-02    0.62988E+04
    0.14013E-02    0.64124E+04
    0.14296E-02    0.65277E+04
    0.14585E-02    0.66449E+04
    0.14880E-02    0.67639E+04
    0.15180E-02    0.68848E+04
    0.15487E-02    0.70076E+04
    0.15800E-02    0.71322E+04
    0.16119E-02    0.72588E+04
    0.16445E-02    0.73873E+04
    0.16777E-02    0.75177E+04
    0.17116E-02    0.76501E+04
    0.17462E-02    0.77845E+04
    0.17814E-02    0.79208E+04
    0.18174E-02    0.80591E+04
    0.18541E-02    0.81994E+04
    0.18916E-02    0.83418E+04
    0.19298E-02    0.84861E+04
    0.19688E-02    0.86325E+04
    0.20086E-02    0.87809E+04
    0.20491E-02    0.89314E+04
    0.20905E-02    0.90839E+04
    0.21328E-02    0.92386E+04
    0.21758E-02    0.93952E+04
    0.22198E-02    0.95540E+04
    0.22646E-02    0.97148E+04
    0.23104E-02    0.98778E+04
    0.23571E-02    0.10043E+05
    0.24047E-02    0.10210E+05
    0.24533E-02    0.10379E+05
    0.25028E-02    0.10550E+05
    0.25534E-02    0.10724E+05
    0.26050E-02    0.10899E+05
